DATE,GDP,GDP_Standardized
1947-01-01,243.164,-0.9339813930283415
1947-04-01,245.968,-0.9336064413883214
1947-07-01,249.585,-0.9331227751679386
1947-10-01,259.745,-0.9317641772140852
1948-01-01,265.742,-0.930962256748607
1948-04-01,272.567,-0.9300496158987005
1948-07-01,279.196,-0.9291631842219196
1948-10-01,280.366,-0.9290067315047927
1949-01-01,275.034,-0.9297197279900238
1949-04-01,271.351,-0.9302122197482956
1949-07-01,272.889,-0.9300065579714228
1949-10-01,270.627,-0.9303090332245347
1950-01-01,280.828,-0.9289449527395682
1950-04-01,290.383,-0.9276672555496993
1950-07-01,308.153,-0.9252910463331662
1950-10-01,319.945,-0.9237142168969616
1951-01-01,336.0,-0.9215673379452768
1951-04-01,344.09,-0.9204855409524939
1951-07-01,351.385,-0.9195100515751946
1951-10-01,356.178,-0.9188691303160589
1952-01-01,359.82,-0.9183821210889
1952-04-01,361.03,-0.9182203195609313
1952-07-01,367.701,-0.9173282716327662
1952-10-01,380.812,-0.9155750651590485
1953-01-01,387.98,-0.9146165582561723
1953-04-01,391.749,-0.9141125665545904
1953-07-01,391.171,-0.9141898568712563
1953-10-01,385.97,-0.91488533600098
1954-01-01,385.345,-0.9149689111703853
1954-04-01,386.121,-0.9148651442400516
1954-07-01,390.996,-0.9142132579186899
1954-10-01,399.734,-0.9130448101902675
1955-01-01,413.073,-0.9112611154947506
1955-04-01,421.532,-0.9101299757219509
1955-07-01,430.221,-0.9089680802868099
1955-10-01,437.092,-0.9080492883044352
1956-01-01,439.746,-0.9076943947050723
1956-04-01,446.01,-0.906856770927224
1956-07-01,451.191,-0.9061639662029215
1956-10-01,460.463,-0.9049241118497592
1957-01-01,469.779,-0.9036783738046708
1957-04-01,472.025,-0.9033780380758957
1957-07-01,479.49,-0.9023798162525181
1957-10-01,474.864,-0.9029984062263888
1958-01-01,467.54,-0.9039777734915484
1958-04-01,471.978,-0.9033843229286349
1958-07-01,485.841,-0.9015305588110886
1958-10-01,499.555,-0.8996967190139286
1959-01-01,510.33,-0.8982558830933803
1959-04-01,522.653,-0.8966080481932488
1959-07-01,525.034,-0.8962896602278823
1959-10-01,528.6,-0.8958128137413229
1960-01-01,542.648,-0.8939343113736328
1960-04-01,541.08,-0.8941439847586369
1960-07-01,545.604,-0.8935390342524131
1960-10-01,540.197,-0.8942620597579728
1961-01-01,545.018,-0.8936173943312476
1961-04-01,555.545,-0.8922097210379194
1961-07-01,567.664,-0.8905891650730818
1961-10-01,580.612,-0.888857755003545
1962-01-01,594.013,-0.8870657696512232
1962-04-01,600.366,-0.8862162447692516
1962-07-01,609.027,-0.8850580935017
1962-10-01,612.28,-0.884623101459979
1963-01-01,621.672,-0.883367200674291
1963-04-01,629.752,-0.8822867408842185
1963-07-01,644.444,-0.8803221226619729
1963-10-01,653.938,-0.8790525824086378
1964-01-01,669.822,-0.8769285696233023
1964-04-01,678.674,-0.8757448777839805
1964-07-01,692.031,-0.8739587761235849
1964-10-01,697.319,-0.8732516633302799
1965-01-01,717.79,-0.8705142756616447
1965-04-01,730.191,-0.8688560105803715
1965-07-01,749.323,-0.8662976743546703
1965-10-01,771.857,-0.8632844217668619
1966-01-01,795.734,-0.8600915828550353
1966-04-01,804.981,-0.8588550715086493
1966-07-01,819.638,-0.8568951334958904
1966-10-01,833.302,-0.8550679797122829
1967-01-01,844.17,-0.853614707806527
1967-04-01,848.983,-0.8529711121419702
1967-07-01,865.233,-0.8507981577374311
1967-10-01,881.439,-0.8486310870248179
1968-01-01,909.387,-0.8448938728895528
1968-04-01,934.344,-0.8415566160849937
1968-07-01,950.825,-0.8393527722978422
1968-10-01,968.03,-0.8370521150344516
1969-01-01,993.337,-0.8336680561350255
1969-04-01,1009.02,-0.831570921124171
1969-07-01,1029.956,-0.828771353529498
1969-10-01,1038.147,-0.8276760507893394
1970-01-01,1051.2,-0.8259306000913424
1970-04-01,1067.375,-0.8237676747071319
1970-07-01,1086.059,-0.8212692451628604
1970-10-01,1088.608,-0.8209283921919576
1971-01-01,1135.156,-0.8147039810151889
1971-04-01,1156.271,-0.8118804774919985
1971-07-01,1177.675,-0.809018328810475
1971-10-01,1190.297,-0.8073305115493
1972-01-01,1230.609,-0.8019399799827902
1972-04-01,1266.369,-0.7971581430900935
1972-07-01,1290.566,-0.7939225136915313
1972-10-01,1328.904,-0.7887959459400714
1973-01-01,1377.49,-0.7822990128509058
1973-04-01,1413.887,-0.7774319961455511
1973-07-01,1433.838,-0.7747641430178612
1973-10-01,1476.289,-0.7690875837915785
1974-01-01,1491.209,-0.7670924773475339
1974-04-01,1530.056,-0.7618978459781103
1974-07-01,1560.026,-0.7578902494547848
1974-10-01,1599.679,-0.7525878395468959
1975-01-01,1616.116,-0.7503898794516707
1975-04-01,1651.853,-0.745611118125208
1975-07-01,1709.82,-0.7378597551733358
1975-10-01,1761.831,-0.7309048301558289
1976-01-01,1820.487,-0.7230613339372042
1976-04-01,1852.332,-0.7188030119056625
1976-07-01,1886.558,-0.7142263019087544
1976-10-01,1934.273,-0.707845839175672
1977-01-01,1988.648,-0.7005747994374062
1977-04-01,2055.909,-0.6915806402864085
1977-07-01,2118.473,-0.6832145652485261
1977-10-01,2164.27,-0.677090577995315
1978-01-01,2202.76,-0.6719436847626556
1978-04-01,2331.633,-0.6547107522718139
1978-07-01,2395.053,-0.6462302126819137
1978-10-01,2476.949,-0.6352790573641204
1979-01-01,2526.61,-0.6286383749835776
1979-04-01,2591.247,-0.6199950978238113
1979-07-01,2667.565,-0.609789834177927
1979-10-01,2723.883,-0.6022589759530138
1980-01-01,2789.842,-0.5934389205949214
1980-04-01,2797.352,-0.5924346813593466
1980-07-01,2856.483,-0.5845276680119739
1980-10-01,2985.557,-0.5672678577466513
1981-01-01,3124.206,-0.5487276758860387
1981-04-01,3162.532,-0.5436027127778312
1981-07-01,3260.609,-0.5304878297542011
1981-10-01,3280.818,-0.5277854767965806
1982-01-01,3274.302,-0.528656798082733
1982-04-01,3331.972,-0.5209451500513622
1982-07-01,3366.322,-0.516351858740844
1982-10-01,3402.561,-0.511505969838315
1983-01-01,3473.413,-0.502031621193982
1983-04-01,3578.848,-0.48793282441597646
1983-07-01,3689.179,-0.4731793331909171
1983-10-01,3794.706,-0.4590682341479751
1984-01-01,3908.054,-0.4439113088651622
1984-04-01,4009.601,-0.43033241650099346
1984-07-01,4084.25,-0.4203503319874891
1984-10-01,4148.551,-0.4117519848387952
1985-01-01,4230.168,-0.40083813747662445
1985-04-01,4294.887,-0.3921838952546323
1985-07-01,4386.773,-0.3798968744290637
1985-10-01,4444.094,-0.37223189477228885
1986-01-01,4507.894,-0.36370054147939035
1986-04-01,4545.34,-0.3586932522097057
1986-07-01,4607.669,-0.3503586014355197
1986-10-01,4657.627,-0.34367820413447536
1987-01-01,4722.156,-0.3350493687639825
1987-04-01,4806.16,-0.3238163311148188
1987-07-01,4884.555,-0.3133333304659664
1987-10-01,5007.994,-0.2968270339280025
1988-01-01,5073.372,-0.2880846700473893
1988-04-01,5190.036,-0.2724843283457794
1988-07-01,5282.835,-0.26007522091274354
1988-10-01,5399.509,-0.24447354200842314
1989-01-01,5511.253,-0.22953110404037222
1989-04-01,5612.463,-0.21599727540754685
1989-07-01,5695.365,-0.2049115974970786
1989-10-01,5747.237,-0.19797525959724735
1990-01-01,5872.701,-0.18119817951041006
1990-04-01,5960.028,-0.1695207894005519
1990-07-01,6015.116,-0.16215440710902854
1990-10-01,6004.733,-0.16354282468332576
1991-01-01,6035.178,-0.1594717110312522
1991-04-01,6126.862,-0.14721170170043546
1991-07-01,6205.937,-0.13663777126727011
1991-10-01,6264.54,-0.128801362223011
1992-01-01,6363.102,-0.11562162486792224
1992-04-01,6470.763,-0.10122516676656255
1992-07-01,6566.641,-0.08840433461896818
1992-10-01,6680.803,-0.07313856103552174
1993-01-01,6729.459,-0.06663226752738273
1993-04-01,6808.939,-0.05600418038444263
1993-07-01,6882.098,-0.04622133907480064
1993-10-01,7013.738,-0.028618402593967356
1994-01-01,7115.652,-0.014990434890323825
1994-04-01,7246.931,0.0025642285726608176
1994-07-01,7331.075,0.013815987059771391
1994-10-01,7455.288,0.030425783087526893
1995-01-01,7522.289,0.0393851749680519
1995-04-01,7580.997,0.04723562464077118
1995-07-01,7683.125,0.0608922084824191
1995-10-01,7772.586,0.0728549576506949
1996-01-01,7868.468,0.08567632467937346
1996-04-01,8032.84,0.1076561930721684
1996-07-01,8131.408,0.12083673274888349
1996-10-01,8259.771,0.13800146790149062
1997-01-01,8362.655,0.1517591442680513
1997-04-01,8518.825,0.17264223899770587
1997-07-01,8662.823,0.19189769058815723
1997-10-01,8765.907,0.20568211100892744
1998-01-01,8866.48,0.21913075982909494
1998-04-01,8969.699,0.232933232486457
1998-07-01,9121.097,0.2531782140826677
1998-10-01,9293.991,0.2762976466253385
1999-01-01,9411.682,0.2920353190453154
1999-04-01,9526.21,0.30735003424796536
1999-07-01,9686.626,0.32880090524849226
1999-10-01,9900.169,0.3573559330890162
2000-01-01,10002.179,0.37099673793868043
2000-04-01,10247.72,0.40383054701221627
2000-07-01,10318.165,0.41325047150623273
2000-10-01,10435.744,0.42897316725585205
2001-01-01,10470.231,0.43358477824350383
2001-04-01,10599.0,0.45080380382615665
2001-07-01,10598.02,0.45067275796052914
2001-10-01,10660.465,0.4590229202861568
2002-01-01,10783.5,0.4754751938346171
2002-04-01,10887.46,0.4893767532128259
2002-07-01,10984.04,0.5022914569906967
2002-10-01,11061.433,0.5126404699279583
2003-01-01,11174.129,0.5277102095940476
2003-04-01,11312.766,0.5462487868114074
2003-07-01,11566.669,0.5802007647914516
2003-10-01,11772.234,0.6076889723095501
2004-01-01,11923.447,0.6279092156556169
2004-04-01,12112.815,0.6532315559435418
2004-07-01,12305.307,0.6789716383582224
2004-10-01,12527.214,0.7086451025457964
2005-01-01,12767.286,0.7407475954569678
2005-04-01,12922.656,0.7615237139697836
2005-07-01,13142.642,0.7909403015166733
2005-10-01,13324.204,0.8152188213687931
2006-01-01,13599.16,0.8519860122152226
2006-04-01,13753.424,0.8726142361082587
2006-07-01,13870.188,0.8882279498369734
2006-10-01,14039.56,0.9108764195850111
2007-01-01,14215.651,0.9344233558342241
2007-04-01,14402.082,0.9593529596860795
2007-07-01,14564.117,0.9810203238054338
2007-10-01,14715.058,1.0012041952377755
2008-01-01,14706.538,1.0000648985284417
2008-04-01,14865.701,1.0213482180293445
2008-07-01,14898.999,1.0258008356147197
2008-10-01,14608.209,0.9869163179965073
2009-01-01,14430.902,0.963206777897699
2009-04-01,14381.236,0.956565426915801
2009-07-01,14448.882,0.9656110683711522
2009-10-01,14651.249,0.9926716384624374
2010-01-01,14764.61,1.007830302108774
2010-04-01,14980.193,1.0366581193022368
2010-07-01,15141.607,1.0582424431332702
2010-10-01,15309.474,1.0806896638733798
2011-01-01,15351.448,1.0863024385303723
2011-04-01,15557.539,1.1138609829110424
2011-07-01,15647.68,1.125914661863631
2011-10-01,15842.259,1.1519338184839902
2012-01-01,16068.805,1.1822276110089585
2012-04-01,16207.115,1.2007224616976857
2012-07-01,16319.541,1.2157560968905918
2012-10-01,16420.419,1.229245530393429
2013-01-01,16648.189,1.2597029965301607
2013-04-01,16728.687,1.2704672109090285
2013-07-01,16953.838,1.300574463655884
2013-10-01,17192.019,1.3324240915345025
2014-01-01,17197.738,1.3331888377646295
2014-04-01,17518.508,1.376082289108878
2014-07-01,17804.228,1.4142888449528739
2014-10-01,17912.079,1.4287107099057332
2015-01-01,18063.529,1.4489626449560382
2015-04-01,18279.784,1.4778803221716459
2015-07-01,18401.626,1.4941730674367453
2015-10-01,18435.137,1.4986541674398537
2016-01-01,18525.933,1.5107954331699796
2016-04-01,18711.702,1.5356365142024007
2016-07-01,18892.639,1.5598314588851148
2016-10-01,19089.379,1.5861395850112099
2017-01-01,19280.084,1.6116407093015264
2017-04-01,19438.643,1.6328432617587163
2017-07-01,19692.595,1.6668017920320417
2017-10-01,20037.088,1.7128674893663753
2018-01-01,20328.553,1.7518422681675456
2018-04-01,20580.912,1.7855877820490906
2018-07-01,20798.73,1.8147144640483472
2018-10-01,20917.867,1.83064549598026
2019-01-01,21104.133,1.8555530359873926
2019-04-01,21384.775,1.8930805602950043
2019-07-01,21694.282,1.9344679202264325
2019-10-01,21902.39,1.9622961783938075
2020-01-01,21706.513,1.9361034528616277
2020-04-01,19913.143,1.6962935303712607
2020-07-01,21647.64,1.9282309393441854
2020-10-01,22024.502,1.9786250281320903
2021-01-01,22600.185,2.055605514930142
2021-04-01,23292.362,2.148163610983725
2021-07-01,23828.973,2.2199193793513676
2021-10-01,24654.603,2.330322846737195
2022-01-01,25029.116,2.3804028266084067
2022-04-01,25544.273,2.4492897602809727
2022-07-01,25994.639,2.509512823872031
2022-10-01,26408.405,2.564841725542712
2023-01-01,26813.601,2.6190246444905068
2023-04-01,27063.012,2.6523759510130005
2023-07-01,27610.128,2.725536450828008
2023-10-01,27956.998,2.7719200012466243
2024-01-01,28284.498,2.8157133900150293
